id,date,group,from,to,x,z,y,direction,idk,funny
2230,2023-11-23 12:34:23,15,nrf5340,raspi,1618,1362,1671,4,0,fuck IT with a stick
2231,2023-11-23 12:34:25,15,nrf5340,raspi,1612,1359,1673,4,0,fuck IT with a stick
2232,2023-11-23 12:34:27,15,nrf5340,raspi,1618,1359,1665,4,0,fuck IT with a stick
2233,2023-11-23 12:34:28,15,nrf5340,raspi,1613,1359,1672,4,0,fuck IT with a stick
2234,2023-11-23 12:34:30,15,nrf5340,raspi,1606,1362,1669,4,0,fuck IT with a stick
2235,2023-11-23 12:34:32,15,nrf5340,raspi,1615,1360,1673,4,0,fuck IT with a stick
2236,2023-11-23 12:34:34,15,nrf5340,raspi,1613,1362,1667,4,0,fuck IT with a stick
2237,2023-11-23 12:34:36,15,nrf5340,raspi,1612,1361,1669,4,0,fuck IT with a stick
2238,2023-11-23 12:34:38,15,nrf5340,raspi,1611,1365,1669,4,0,fuck IT with a stick
2239,2023-11-23 12:34:40,15,nrf5340,raspi,1617,1353,1669,4,0,fuck IT with a stick
2240,2023-11-23 12:34:41,15,nrf5340,raspi,1614,1367,1669,4,0,fuck IT with a stick
2241,2023-11-23 12:34:43,15,nrf5340,raspi,1611,1363,1674,4,0,fuck IT with a stick
2242,2023-11-23 12:34:45,15,nrf5340,raspi,1615,1358,1673,4,0,fuck IT with a stick
2243,2023-11-23 12:34:47,15,nrf5340,raspi,1617,1372,1667,4,0,fuck IT with a stick
2244,2023-11-23 12:34:49,15,nrf5340,raspi,1609,1371,1674,4,0,fuck IT with a stick
2245,2023-11-23 12:34:51,15,nrf5340,raspi,1612,1365,1669,4,0,fuck IT with a stick
2246,2023-11-23 12:34:53,15,nrf5340,raspi,1614,1359,1667,4,0,fuck IT with a stick
2247,2023-11-23 12:34:54,15,nrf5340,raspi,1611,1359,1669,4,0,fuck IT with a stick
2248,2023-11-23 12:35:10,15,nrf5340,raspi,1963,1697,1622,5,0,fuck IT with a stick
2249,2023-11-23 12:35:12,15,nrf5340,raspi,1963,1701,1631,5,0,fuck IT with a stick
